size result
1000 0.002517
2000 0.011162
3000 0.022813
4000 0.050003
5000 0.070998
6000 0.107752
7000 0.191466
8000 0.186455
9000 0.232611
10000 0.307689
11000 0.368863
12000 0.416336
13000 0.535966
14000 0.605860
15000 0.666569
16000 0.753183
17000 0.857845
18000 0.928154
19000 1.074126
20000 1.276748
21000 1.447464
22000 1.589673
23000 1.673564
24000 2.036631
25000 5.971024
26000 2.501058
27000 2.138903
28000 6.722123
29000 3.309276
30000 22.883370
31000 26.585940
32000 28.337336
