size result
1000 0.009132
2000 0.023474
3000 0.073996
4000 0.141764
5000 0.238644
6000 0.378742
7000 0.551732
8000 0.728954
9000 1.003638
10000 1.242128
11000 1.641058
12000 2.238118
13000 2.506728
14000 3.837621
15000 5.217138
16000 5.713947
17000 7.270806
18000 8.883659
19000 10.745422
20000 13.363274
21000 16.087569
22000 21.234181
23000 24.580384
24000 29.294100
25000 37.275977
26000 32.290013
27000 35.085139
28000 46.196647
29000 69.274227
30000 88.667423
31000 90.455134
32000 124.180741
