size result
1000 .003846
2000 .022059
3000 .057485
4000 .107856
5000 .186277
6000 .264661
7000 .967714
8000 .596579
9000 .712114
10000 .879307
11000 1.118691
12000 1.344802
13000 1.773202
14000 2.189144
15000 2.521737
16000 5.135660
17000 3.617482
18000 4.403511
19000 5.654867
20000 6.936020
21000 7.558079
22000 8.122118
23000 9.869746
24000 14.535630
25000 16.155573
26000 15.113315
27000 68.638435
28000 25.470991
29000 33.689499
30000 90.778786
